restaurant_name,dish_name,category,price
TigerHawk Sandwich Company,Biggie Smalls,breakfast sandwich,10
TigerHawk Sandwich Company,Early Bird,breakfast sandwich,11
TigerHawk Sandwich Company,Rise and Shine,breakfast sandwich,13
TigerHawk Sandwich Company,B.E.A.C.H. Please,breakfast sandwich,14
TigerHawk Sandwich Company,K-Pop in the Morning,breakfast sandwich,13
TigerHawk Sandwich Company,Egg Banh Mi,breakfast sandwich,13
TigerHawk Sandwich Company,Avocado Toast,breakfast,13
TigerHawk Sandwich Company,Seared Tofu K-Pop Star Sandwich,sandwich,16
TigerHawk Sandwich Company,Seared Tofu & Shiitake Shroom Banh Mi Sandwich,sandwich,15
TigerHawk Sandwich Company,Crispy Parmesan Grilled Cheese,sandwich,12
TigerHawk Sandwich Company,Hawk Style Fried Chicken Sandwich,sandwich,16
TigerHawk Sandwich Company,Chad's Style Fried Chicken Sandwich,sandwich,16
TigerHawk Sandwich Company,Tiger Style Fried Chicken Sandwich,sandwich,16
TigerHawk Sandwich Company,Krispy K-Pop Fried Chicken Sandwich,sandwich,16
TigerHawk Sandwich Company,Teriyaki Beef Banh Mi,sandwich,17
TigerHawk Sandwich Company,Teriyaki Chicken Banh Mi,sandwich,16
TigerHawk Sandwich Company,Fried Chicken Banh Mi,sandwich,16
TigerHawk Sandwich Company,Pork Belly Banh Mi,sandwich,16
TigerHawk Sandwich Company,In Da Club,sandwich,17
TigerHawk Sandwich Company,Pac's Pollo,sandwich,17
TigerHawk Sandwich Company,K-Pop Star,sandwich,17
TigerHawk Sandwich Company,Notorious P.B.L.T.,sandwich,17
TigerHawk Sandwich Company,Cheesesteak Bomb,sandwich,17
TigerHawk Sandwich Company,Fried Chicken Caesar Wrap,sandwich,17
TigerHawk Sandwich Company,Biscuit Fried Chicken,sandwich,17
TigerHawk Sandwich Company,Banh Mi Style Salad,salad,17
TigerHawk Sandwich Company,Caesar Salad,salad,13
TigerHawk Sandwich Company,Chicken Tenders & Fries,tendys,15
TigerHawk Sandwich Company,Teriyaki Beef Poke Bowl,pokebowl,18
TigerHawk Sandwich Company,Teriyaki Chicken Poke Bowl,pokebowl,18
TigerHawk Sandwich Company,Fried Chicken Poke Bowl,pokebowl,17
TigerHawk Sandwich Company,Pork Belly Poke Bowl,pokebowl,18
TigerHawk Sandwich Company,Tuna Poke Bowl,pokebowl,26
Mo's Lunch,Roast Pork Sandwich,sandwich,16
Mo's Lunch,Italian Sandwich,sandwich,16
Mo's Lunch,Cauliflower Melt,sandwich,15
Mo's Lunch,Chickpea Salad Sandwich,sandwich,14
Mo's Lunch,Turkey Sandwich,sandwich,16
Mo's Lunch,Beef Sandwich,sandwich,16
Mo's Lunch,Cold Tuna Sub,sandwich,14
Mo's Lunch,Tuna Melt,sandwich,14
Mo's Lunch,Banh Mi,sandwich,16
Mo's Lunch,Filet o' Fish,sandwich,12
Mo's Lunch,Leo Burger,burger,11
Mo's Lunch,Waffle Fries,fries,16
Mo's Lunch,Chopped Salad,salad,15
Mo's Lunch,Kale Caesar Salad,salad,15
Mo's Lunch,Nicoise Salad,salad,18
Mo's Lunch,Side Salad,salad,8
Mo's Lunch,Country Pate,apps,20
Mo's Lunch,Tinned Fish,apps,18
Mo's Lunch,Today's Cheese,apps,18
Mo's Lunch,Smoked Bluefish Pate,apps,21
Mo's Lunch,Mortadella,apps,18
Mo's Lunch,Meat + Cheese,apps,22
Mo's Lunch,Broccoli Rabe,apps,9
