restaurant_name,dish_name,category,price
Coop de Ville,New England Clam Chowder Cup,chowder,8.00
Coop de Ville,New England Clam Chowder Bowl,chowder,10.00
Coop de Ville,Stuffed Quahogs,apps,14.00
Coop de Ville,Peel n Eat Shrimp Half Pound,apps,16.00
Coop de Ville,Peel n Eat Shrimp One Pound,apps,30.00
Coop de Ville,LJ's Famous Fried Pickles,apps,12.00
Coop de Ville,Popcorn Chicken,apps,14.00
Coop de Ville,Popcorn Shrimp,apps,14.00
Coop de Ville,Local Hand-dug Steamers,apps,32.00
Coop de Ville,Coconut Shrimp,apps,15.00
Coop de Ville,Maryland Style Crab Cakes,apps,20.00
Coop de Ville,Clam Strip Basket,fish,19.00
Coop de Ville,Beer Battered Shrimp Basket,fish,18.00
Coop de Ville,Whole Belly Clam Basket,fish,29.00
Coop de Ville,Fresh Sea Scallop Basket,fish,26.00
Coop de Ville,Popcorn Chicken Basket,fried_chicken,17.00
Coop de Ville,Popcorn Shrimp Basket,fish,17.00
Coop de Ville,Blackened Mahi Mahi,fish,30.00
Coop de Ville,BBQ Ribs Half Rack,entree,23.00
Coop de Ville,BBQ Ribs Full Rack,entree,44.00
Coop de Ville,Marinated Steak Tip,entree,33.00
Coop de Ville,Pulled Pork BBQ Sandwich,sandwich,15.00
Coop de Ville,Cod Fish Sandwich,sandwich,18.00
Coop de Ville,Coop Cheese Burger,burger,16.00
Coop de Ville,Beyond Burger,burger,16.00
Coop de Ville,Grilled Marinated Chicken Sandwich,sandwich,15.00
Coop de Ville,Lobster Salad Roll,lobster_roll,35.00
Coop de Ville,Fried Whole Belly Clam Roll,sandwich,29.00
Coop de Ville,Fried Scallop Roll,sandwich,24.00
Coop de Ville,Pearl Beef Dog,sandwich,13.00
Coop de Ville,Grilled Steak Tip Sub,sandwich,19.00
Coop de Ville,Blackened Mahi Mahi Sandwich,sandwich,20.00
Coop de Ville,Tuna Melt,sandwich,15.00
Coop de Ville,Wings Half Order,wings,14.00
Coop de Ville,Wings Single Order,wings,19.00
Coop de Ville,Wings Double Order,wings,36.00
Mo's Lunch,Roast Pork Sandwich,sandwich,16.00
Mo's Lunch,Italian Sandwich,sandwich,16.00
Mo's Lunch,Cauliflower Melt,sandwich,15.00
Mo's Lunch,Chickpea Salad Sandwich,sandwich,14.00
Mo's Lunch,Turkey Sandwich,sandwich,16.00
Mo's Lunch,Beef Sandwich,sandwich,16.00
Mo's Lunch,Cold Tuna Sub,sandwich,14.00
Mo's Lunch,Tuna Melt,sandwich,14.00
Mo's Lunch,Banh Mi,sandwich,16.00
Mo's Lunch,Leo Burger,burger,11.00
Mo's Lunch,Filet o' Fish,sandwich,12.00
Mo's Lunch,Chopped Salad,salad,15.00
Mo's Lunch,Kale Caesar Salad,salad,15.00
Mo's Lunch,Nicoise Salad,salad,18.00
Mo's Lunch,Country Pate,apps,20.00
Mo's Lunch,Tinned Fish,apps,18.00
Mo's Lunch,Today's Cheese,apps,18.00
Mo's Lunch,Smoked Bluefish Pate,apps,21.00
Mo's Lunch,Mortadella,apps,18.00
Mo's Lunch,Meat + Cheese,apps,22.00
Mo's Lunch,Broccoli Rabe,apps,9.00
Mo's Lunch,Polenta Frys,apps,9.00
Mo's Lunch,Onion Rings,apps,9.00
Mo's Lunch,Pickles,apps,7.00
Mo's Lunch,Side Salad,salad,8.00
Waterside Market,Breakfast Sandwich,breakfast,8.00
Waterside Market,Breakfast Burrito,breakfast,13.00
Waterside Market,Skinny Wrap,breakfast,13.00
Waterside Market,Traditional Breakfast,breakfast,14.00
Waterside Market,Flapjacks,breakfast,14.00
Waterside Market,Tex-Mex,breakfast,20.00
Waterside Market,Eggs Benedict,breakfast,19.00
Waterside Market,Lobster Benedict,breakfast,36.00
Waterside Market,Cinnamon French Toast,breakfast,14.00
Waterside Market,Avocado Toast,breakfast,16.00
