Restaurant Name,Town,Hours,Cuisine Type,Complete
9 Craft Kitchen & Bar,Vineyard Haven,4:00 PM - 8:00 PM,Contemporary,✓
Art Cliff Diner,Vineyard Haven,7:00 AM - 2:00 PM,Diner,✓
The Attic at Waterside,Vineyard Haven,3:30 PM - 9:00 PM,Upscale,✓
Beach Road Restaurant,Vineyard Haven,5:00 PM - 8:00 PM,Fine Dining,✓
The Black Dog Bakery,Vineyard Haven,5:30 AM - 5:00 PM,Bakery,✓
The Black Dog Bakery Café,Vineyard Haven,6:00 AM - 7:00 PM,Cafe,✓
The Black Dog Tavern,Vineyard Haven,7:00 AM - 3:00 PM,Pub,✓
Bobby B's Restaurant & Bakery,Vineyard Haven,6:30 AM - 9:30 PM,Casual,
Catboat Coffee Co.,Vineyard Haven,7:00 AM - 4:00 PM,Coffee,✓
Island Fresh Pizza & Subs,Vineyard Haven,6:00 AM - 9:00 PM,Pizza,
Mikado Asian Bistro,Vineyard Haven,11:00 AM - 9:00 PM,Asian,
Mocha Mott's,Vineyard Haven,6:00 AM - 5:00 PM,Coffee,
Nat's Nook,Vineyard Haven,9:00 AM - 2:00 PM,Cafe,✓
Ocean Club Restaurant & Bar,Vineyard Haven,4:00 PM - 11:00 PM,Fine Dining,✓
Vineyard Grill,Vineyard Haven,10:30 AM - 11:00 PM,Contemporary,
Vineyard Grocer,Vineyard Haven,6:00 AM - 5:30 PM,Market,
Waterside Market,Vineyard Haven,7:00 AM - 5:00 PM,Market,✓
Wolf's Den Pizzeria,Vineyard Haven,10:30 AM - 9:00 PM,Pizza,✓
Bangkok Thai Cuisine,Oak Bluffs,4:00 PM - 9:00 PM,Thai,
The Barn Bowl & Bistro,Oak Bluffs,11:30 AM - 9:30 PM,Casual,✓
Black Joy Kitchen,Oak Bluffs,10:00 AM - 3:00 PM,Contemporary,
Honorary Tavern,Oak Bluffs,8:00 AM - 8:00 PM,Pub,
Offshore Ale Co.,Oak Bluffs,11:30 AM - 9:00 PM,Brewery,✓
Reliable Market,Oak Bluffs,9:00 AM - 1:00 PM,Market,
Sharky's Cantina,Oak Bluffs,11:30 AM - 11:30 PM,Mexican,✓
Tony's Market & Deli,Oak Bluffs,6:30 AM - 9:00 PM,Deli,
Winston's Kitchen,Oak Bluffs,8:00 AM - 8:00 PM,Contemporary,✓
China House,Edgartown,11:00 AM - 9:00 PM,Chinese,
Cozy Corner Café,Edgartown,8:30 AM - 3:00 PM,Cafe,✓
Dip 02539 Coffee Shop,Edgartown,5:00 AM - 4:00 PM,Coffee,
Dock Street Coffee Shop,Edgartown,6:30 AM - 1:30 PM,Coffee,✓
Edgartown Diner,Edgartown,8:00 AM - 2:00 PM,Diner,
Edgartown Meat & Fish Market,Edgartown,7:00 AM - 6:00 PM,Market,
Edgartown Pizza,Edgartown,10:30 AM - 7:30 PM,Pizza,✓
Espresso Love,Edgartown,7:00 AM - 4:00 PM,Coffee,✓
Indigo Indian Restaurant,Edgartown,11:00 AM - 10:00 PM,Indian,✓
Morning Glory Farm,Edgartown,9:00 AM - 5:30 PM,Farm Market,
The Newes From America Pub,Edgartown,12:00 PM - 6:00 PM,Pub,✓
Rockfish,Edgartown,11:30 AM - 12:30 AM,Seafood,✓
Soigné,Edgartown,10:00 AM - 6:00 PM,Casual,
The Square Rigger,Edgartown,5:00 PM - 9:00 PM,Fine Dining,✓
Stop & Shop,Edgartown,7:00 AM - 9:00 PM,Supermarket,
Town Bar & Grill MV,Edgartown,12:00 PM - 10:00 PM,Contemporary,✓
Wharf Restaurant & Pub,Edgartown,11:30 AM - 12:30 AM,Seafood,✓
Wolf's Den Pizzeria,Edgartown,11:00 AM - 9:00 PM,Pizza,✓
Beetlebung Farm Stand,Chilmark,8:00 AM - 6:00 PM,Farm Stand,
Menemsha Fish Market,Chilmark,12:00 PM - 4:00 PM,Seafood Market,
North Tabor Farm Stand,Chilmark,6:30 AM - 5:00 PM,Farm Stand,
Orange Peel Bakery,Aquinnah,7:00 AM - 5:00 PM,Bakery,
Plane View Restaurant,West Tisbury,7:00 AM - 3:00 PM,Diner,
First Light Café @ MV Museum,Vineyard Haven,10:00 AM - 4:00 PM,Cafe,
